Distance_m,Altitude_m,Interference_Level,SNR_dB
808.43,25.96,2,45.13
1500.46,118.31,2,33.89
1422.98,126.0,2,41.67
1258.59,118.26,2,47.54
76.26,132.94,0,100
1897.41,62.43,1,36.85
432.68,5.91,1,76.32
605.03,75.46,1,77.16
974.03,42.98,0,70.46
1963.95,119.12,1,35.52
1929.01,30.93,0,49.56
1785.55,62.77,0,48.32
553.92,34.4,0,86.19
1577.24,27.49,1,43.57
1884.58,128.52,0,60.66
1273.82,75.58,2,43.0
925.44,107.91,1,65.12
653.97,24.86,0,78.02
998.52,51.63,0,79.83
1060.62,52.03,2,45.61
386.13,30.66,0,91.29
707.44,28.67,1,62.13
108.45,125.93,1,92.14
626.59,112.96,1,76.59
1876.05,31.89,1,34.32
1133.7,25.78,2,43.02
230.43,55.44,2,63.73
1371.33,50.98,1,52.93
1091.1,119.74,2,52.97
436.62,32.03,1,72.41
915.06,85.07,1,69.51
1859.94,117.9,1,37.46
1210.45,132.34,2,43.83
795.43,121.83,0,85.03
823.49,139.22,1,73.85
533.74,37.66,1,75.36
644.28,65.98,2,57.19
34.99,64.51,1,89.96
905.55,142.47,1,73.54
1961.79,60.32,1,33.4
1388.66,53.37,1,44.74
369.72,99.09,1,82.38
1189.55,142.04,0,78.3
1866.91,116.11,1,36.31
693.51,51.54,0,80.52
873.23,27.21,2,45.73
225.79,83.94,0,100
89.04,56.11,2,68.48
1651.02,108.44,1,42.89
300.63,70.94,2,67.06
1504.95,86.7,2,33.71
23.62,39.07,0,99.84
482.55,123.13,1,79.83
73.41,22.57,1,81.15
755.59,45.77,1,63.56
971.24,117.17,1,70.09
589.55,22.72,2,51.06
1402.67,59.54,2,31.65
1396.22,8.88,0,60.88
1546.73,38.12,0,52.78
272.45,102.79,1,87.96
1314.58,92.83,0,73.63
686.71,130.48,1,79.29
200.67,124.36,2,73.96
977.4,22.05,2,44.79
666.08,124.77,2,63.82
1216.96,64.48,2,36.13
1355.35,23.6,2,31.82
219.43,122.95,1,90.97
1828.15,26.2,0,51.18
569.04,23.26,2,54.63
117.24,48.62,0,98.3
1891.6,118.1,0,54.7
880.35,44.28,1,62.73
1508.6,111.07,1,49.03
1421.73,53.06,1,44.76
1073.11,34.95,2,44.13
328.32,118.99,1,85.58
938.56,35.6,2,45.98
932.28,26.76,2,48.69
433.3,91.5,1,85.75
579.88,72.58,0,90.08
668.0,117.69,0,93.03
1095.14,26.13,2,35.55
910.43,77.56,1,67.37
1951.08,115.82,0,57.51
903.15,68.21,0,79.12
1804.43,77.7,0,53.67
709.03,137.8,2,60.25
1720.64,107.38,0,60.4
996.72,71.0,1,61.19
1516.32,116.62,0,66.9
743.2,112.16,1,69.76
319.82,141.02,1,90.96
326.96,75.01,0,97.41
816.62,63.06,2,46.98
1073.96,116.95,2,51.99
866.69,57.01,1,62.84
1669.68,29.23,2,25.37
750.41,25.88,0,84.97
1224.26,125.52,0,75.91
438.06,125.35,2,72.05
1319.52,69.17,1,52.29
892.69,140.99,0,86.3
1330.92,99.19,1,57.75
978.16,18.59,0,76.3
1401.76,97.72,0,65.4
1131.13,93.59,2,48.68
1902.14,118.76,2,20.73
1534.81,44.6,2,24.43
623.55,100.55,0,88.74
750.11,17.5,0,81.97
1693.16,147.58,2,35.75
1799.86,121.04,0,54.02
226.06,93.14,1,82.82
77.57,135.6,2,77.63
770.4,28.69,1,65.22
1072.85,35.58,1,59.92
1334.7,107.06,0,69.85
1646.75,124.59,0,67.67
1448.17,90.46,2,32.67
1214.04,10.55,1,50.06
1001.19,78.04,1,66.46
1090.45,127.92,2,48.93
1678.73,54.31,1,44.49
477.78,101.21,0,91.26
1670.37,83.03,0,60.69
1783.98,18.16,1,28.91
1428.32,78.99,2,40.0
1209.57,58.74,1,54.81
1266.52,36.85,0,67.64
1391.19,11.98,2,26.03
1293.31,138.56,0,78.21
1899.47,110.37,2,23.72
1462.08,59.83,1,46.65
1104.34,75.52,0,78.32
627.11,89.69,2,63.02
1456.96,63.86,1,43.5
179.01,20.03,2,69.31
534.12,56.15,0,90.67
225.05,114.3,2,75.82
475.02,134.43,1,79.9
1673.7,148.8,1,50.39
1773.65,105.15,2,27.12
692.53,117.4,0,87.78
530.14,94.07,1,83.46
1631.86,78.18,0,58.83
1834.64,77.57,0,50.25
1485.02,35.04,2,33.38
1937.53,80.48,0,45.95
350.11,56.34,1,76.01
1365.77,70.8,2,38.47
1235.54,6.01,2,36.74
700.55,7.08,2,54.68
1372.23,100.85,2,39.25
1638.45,77.93,0,62.42
1887.34,58.67,2,17.27
819.44,94.99,0,89.73
354.74,130.54,1,84.69
13.98,14.57,2,75.29
704.28,98.28,1,72.69
448.93,13.16,2,53.13
771.99,34.11,0,79.39
673.75,119.74,1,74.73
400.6,47.92,2,59.18
970.66,89.32,2,48.59
635.49,72.09,1,70.87
532.11,20.76,0,89.66
1467.88,13.25,1,42.98
391.81,43.19,0,95.96
1464.12,19.93,2,26.24
1981.45,117.22,1,40.15
1535.1,109.0,2,33.07
1690.37,111.46,2,27.62
771.52,102.72,0,82.39
583.02,22.63,2,52.87
486.09,18.43,0,90.98
1352.55,15.44,1,45.84
583.97,40.23,0,89.99
1327.0,70.7,1,54.74
980.28,86.53,2,51.99
1020.92,91.17,2,50.66
330.35,30.97,0,92.1
352.78,8.04,1,79.54
182.47,101.14,0,99.81
1058.48,143.91,1,66.12
1884.88,111.84,2,25.07
184.17,50.49,2,70.84
1683.43,102.49,2,32.05
128.92,108.88,2,74.01
1359.26,10.32,2,27.18
715.48,9.06,2,48.36
452.64,65.84,0,88.51
1616.67,80.43,0,61.99
546.45,68.54,1,77.04
700.67,8.25,1,65.46
250.16,127.48,1,92.99
1299.56,148.43,1,57.53
207.78,22.43,1,82.33
303.15,136.21,2,77.76
916.13,142.62,1,72.08
1287.05,10.22,1,48.64
208.88,52.23,0,100
1394.69,19.55,0,58.2
1388.19,25.43,1,50.13
1727.97,88.16,1,41.2
1225.92,139.89,0,73.86
68.84,59.42,1,84.79
963.58,29.91,0,73.66
615.48,75.33,1,78.47
1667.48,126.38,0,62.87
257.59,116.18,1,92.38
744.98,148.47,1,77.61
1096.23,87.79,2,46.96
86.44,23.57,1,83.73
16.94,54.84,1,92.18
1409.7,51.13,1,42.85
1613.23,8.72,1,41.7
690.94,16.28,2,53.34
143.34,21.32,0,94.16
1512.13,90.7,2,37.18
321.93,56.61,2,66.4
1830.05,141.94,2,26.18
605.64,28.99,1,70.12
555.65,149.07,1,85.59
267.02,72.89,2,71.08
276.66,82.8,1,83.38
142.59,64.07,2,69.21
722.69,15.53,0,79.22
1862.24,16.4,2,18.42
1588.86,75.05,0,59.33
197.47,56.43,1,84.98
1142.07,107.12,0,72.14
100.96,33.16,1,85.34
1217.47,143.27,0,73.34
1967.15,91.46,1,35.46
1032.46,58.29,2,43.86
1301.93,99.61,2,44.86
68.75,119.03,1,94.28
1540.42,125.1,2,37.22
794.81,140.01,0,88.4
629.11,139.8,0,100
324.15,74.85,2,70.03
1413.18,107.21,2,38.95
1709.05,70.8,2,26.54
1854.65,105.16,2,22.2
1998.68,41.97,1,26.23
1173.78,144.67,1,59.87
531.81,75.48,0,87.76
755.0,44.18,2,52.55
570.39,112.8,2,60.01
1323.73,119.36,2,38.45
1949.47,42.18,2,10.74
1304.92,10.01,1,49.19
536.47,7.8,2,57.81
1783.01,103.1,0,58.97
973.8,107.11,0,81.11
1879.96,93.76,0,50.37
496.6,139.16,0,100
1925.76,48.69,0,48.08
110.34,58.29,2,72.52
992.89,126.17,2,49.78
1467.17,86.99,0,66.28
1984.68,42.68,0,46.62
1233.77,144.06,0,77.05
1200.65,53.25,2,37.55
153.13,137.45,0,100
1558.4,110.77,1,46.42
1785.62,69.12,2,23.18
901.5,24.9,1,62.03
1710.74,42.29,2,19.03
1840.81,64.68,2,19.4
1447.38,144.46,0,69.29
808.74,118.15,2,53.7
986.43,72.21,1,58.91
122.05,148.55,0,100
357.02,80.98,1,85.98
655.11,67.51,1,72.9
1329.04,98.99,0,66.95
1613.27,63.51,2,26.28
319.02,101.66,2,68.68
506.33,111.75,1,80.34
1949.53,57.59,1,30.3
734.59,8.05,2,51.82
357.23,132.51,0,98.87
898.21,18.5,1,60.68
1195.16,109.2,1,61.57
879.01,83.22,1,67.22
498.86,35.75,2,61.92
1188.77,26.47,0,70.28
1198.54,90.74,0,72.76
1348.21,121.6,2,40.92
1137.09,147.39,2,48.06
1710.13,132.26,2,33.31
1901.16,134.03,0,58.06
1446.79,123.87,0,70.19
1508.29,140.76,1,51.03
1485.61,27.17,1,38.71
1518.14,13.9,1,37.88
947.17,90.49,1,61.07
1356.37,119.57,1,53.3
1862.98,148.59,2,32.79
1457.17,36.29,0,64.22
751.37,146.36,2,60.04
1355.4,28.08,1,44.75
1485.56,129.63,2,41.84
250.62,68.39,2,74.15
629.87,30.55,0,81.27
1110.52,42.18,1,59.22
631.23,123.09,2,59.85
1749.19,100.14,2,24.27
1942.37,8.4,2,15.72
474.79,60.15,0,94.61
1047.86,53.54,0,72.06
1052.12,62.92,2,43.71
1219.32,23.46,1,46.64
1714.68,21.25,1,39.1
1154.96,43.15,1,49.9
1477.71,93.47,0,63.17
952.75,46.65,2,50.75
1136.03,128.74,1,65.33
1269.02,17.03,1,50.43
642.55,61.44,0,83.09
1731.61,39.74,2,18.82
680.49,147.96,1,75.57
843.42,117.65,0,82.66
458.36,58.0,1,75.64
974.32,143.33,0,83.99
1507.62,145.12,0,68.36
1270.4,116.79,0,69.45
71.47,108.34,2,78.51
44.19,76.86,2,74.38
183.89,26.13,1,85.22
395.32,32.26,0,93.75
303.18,21.32,0,94.57
967.54,42.5,1,64.26
706.73,84.58,1,71.32
1905.25,65.88,2,18.34
687.04,132.76,0,88.54
1277.03,138.58,0,76.83
210.19,133.36,2,81.65
1996.62,76.19,1,35.58
1525.82,149.41,2,41.85
261.31,13.15,0,96.99
147.1,30.01,0,97.13
1873.71,34.1,2,18.83
964.63,29.35,2,46.78
605.78,68.47,1,69.25
1061.52,73.3,0,79.21
289.08,24.68,0,89.94
324.08,122.69,2,69.21
130.02,5.51,0,93.2
1320.64,85.8,2,35.65
1975.12,105.19,0,48.05
260.96,15.06,2,59.39
98.51,118.75,0,100
228.26,141.67,0,100
1351.91,86.72,1,48.12
305.38,128.8,1,87.2
1695.64,33.96,2,24.45
1223.56,115.39,1,60.39
829.59,46.49,2,53.42
223.6,96.58,0,100
1480.28,27.66,0,61.87
1619.16,18.33,0,48.37
879.55,94.03,0,79.71
618.02,128.9,1,76.24
1011.75,18.73,1,55.45
1767.28,21.44,2,21.86
611.74,64.78,2,62.04
130.06,147.59,2,85.3
1028.5,7.86,2,37.43
290.76,19.89,0,89.85
1687.7,93.18,0,56.9
1111.57,49.1,2,39.84
1227.21,98.86,1,56.7
1171.19,105.54,0,75.39
462.98,50.08,1,78.9
552.92,31.98,2,52.65
149.31,111.41,0,100
666.06,52.02,0,90.17
883.08,99.98,0,80.56
217.31,30.14,1,77.89
588.23,117.29,2,65.54
1993.28,97.8,0,47.21
1647.55,131.49,0,65.21
450.24,84.89,1,78.43
1070.81,149.25,0,80.23
1831.27,68.98,2,18.35
1823.6,121.23,1,46.94
152.76,28.14,0,100
441.35,97.47,1,80.16
1107.56,144.25,2,52.28
1201.37,135.35,1,67.06
1058.04,39.24,0,71.39
809.18,115.9,2,55.84
1850.04,14.06,1,27.36
1057.85,81.03,1,66.09
1790.03,34.09,0,53.16
1755.71,125.48,1,45.02
368.47,84.4,0,96.68
1945.42,120.25,0,49.29
599.0,83.69,2,59.09
934.7,94.46,0,84.25
28.96,12.22,1,88.4
180.02,39.71,2,67.27
1880.94,13.53,1,28.92
654.03,20.51,1,69.49
259.37,64.17,1,78.79
719.73,90.79,0,88.35
356.47,134.58,2,70.93
27.15,78.15,2,77.37
1697.99,134.99,0,67.11
1943.1,23.12,2,12.97
1592.93,134.98,0,68.1
520.93,104.33,0,98.81
661.62,81.22,1,68.78
715.44,106.77,0,92.65
1058.73,96.59,2,43.87
